"C1","C2","C3","C4","C5","C6","C7","C8","Browser","Appl","Goog","FB","Wind","Twtr","Joy","Sams","Gmail","SB","DCM","KDDI","Description"
"<U+1F49F>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F49F>","","","","","","","","","","—","—","heart decoration"
"<U+2763>",NA,NA,NA,NA,NA,NA,NA,"<U+2763>","","","","","","","","—","—","—","—","heart exclamation"
"<U+1F494>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F494>","","","","","","","","","","","","broken heart"
"<U+2764>","<U+FE0F>","<U+200D>","<U+1F525>",NA,NA,NA,NA,"<U+2764><U+FE0F><U+200D><U+0001F525>","…  …","…  …","…  …","…  …","…  …","…  …","…  …","…  …","…  …","…  …","…  …","<U+229B> heart on fire"
"<U+2764>","<U+FE0F>","<U+200D>","<U+1FA79>",NA,NA,NA,NA,"<U+2764><U+FE0F><U+200D><U+0001FA79>","…  …","…  …","…  …","…  …","…  …","…  …","…  …","…  …","…  …","…  …","…  …","<U+229B> mending heart"
"<U+2764>",NA,NA,NA,NA,NA,NA,NA,"<U+2764>","","","","","","","","","","","","red heart"
"<U+1F9E1>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F9E1>","","","","","","","","—","—","—","—","orange heart"
"<U+1F49B>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F49B>","","","","","","","","","","—","","yellow heart"
"<U+1F49A>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F49A>","","","","","","","","","","—","","green heart"
"<U+1F499>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F499>","","","","","","","","","","—","","blue heart"
"<U+1F49C>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F49C>","","","","","","","","","","—","","purple heart"
"<U+1F90E>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F90E>","","","","","","","","—","—","—","—","brown heart"
"<U+1F5A4>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F5A4>","","","","","","","","—","—","—","—","black heart"
"<U+1F90D>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F90D>","","","","","","","","—","—","—","—","white heart"
"<U+1F4AF>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F4AF>","","","","","","","","","—","—","","hundred points"
"<U+1F4A2>",NA,NA,NA,NA,NA,NA,NA,"<U+0001F4A2>","","","","","","","","","","","","anger symbol"
